timestamp,count,uniques,metric,value,rank,repo
2023-03-20 00:00:00+00:00,114,29,popular/paths,/snowplow/dbt-snowplow-utils,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,42,4,popular/paths,/snowplow/dbt-snowplow-utils/pulls,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,37,3,popular/paths,/snowplow/dbt-snowplow-utils/pull/121,3,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,32,3,popular/paths,/snowplow/dbt-snowplow-utils/pull/123,4,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,25,8,popular/paths,/snowplow/dbt-snowplow-utils/tree/main/macros,5,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,22,15,popular/paths,/snowplow/dbt-snowplow-utils/tree/0.13.2,6,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,19,3,popular/paths,/snowplow/dbt-snowplow-utils/pull/123/files,7,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,17,1,popular/paths,/snowplow/dbt-snowplow-utils/actions,8,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,14,3,popular/paths,/snowplow/dbt-snowplow-utils/pull/121/files,9,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,14,1,popular/paths,/snowplow/dbt-snowplow-utils/tree/main/integration_tests,10,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,100,4,popular/referrers,github.com,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,68,23,popular/referrers,Google,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,27,14,popular/referrers,hub.getdbt.com,3,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,16,1,popular/referrers,snowplow.io,4,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,13,3,popular/referrers,discourse.snowplow.io,5,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,2,1,popular/referrers,com.google.android.gm,6,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,1,1,popular/referrers,statics.teams.cdn.office.net,7,dbt-snowplow-normalize
2023-03-06 00:00:00+00:00,20,5,views,,,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,243,9,views,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,164,13,views,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,90,9,views,,,dbt-snowplow-normalize
2023-03-10 00:00:00+00:00,82,8,views,,,dbt-snowplow-normalize
2023-03-13 00:00:00+00:00,22,8,views,,,dbt-snowplow-normalize
2023-03-14 00:00:00+00:00,96,12,views,,,dbt-snowplow-normalize
2023-03-15 00:00:00+00:00,69,11,views,,,dbt-snowplow-normalize
2023-03-16 00:00:00+00:00,98,12,views,,,dbt-snowplow-normalize
2023-03-17 00:00:00+00:00,56,7,views,,,dbt-snowplow-normalize
2023-03-18 00:00:00+00:00,5,2,views,,,dbt-snowplow-normalize
2023-03-19 00:00:00+00:00,16,1,views,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,11,4,views,,,dbt-snowplow-normalize
2023-03-06 00:00:00+00:00,10,10,clones,,,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,23,22,clones,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,24,23,clones,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,24,24,clones,,,dbt-snowplow-normalize
2023-03-10 00:00:00+00:00,24,22,clones,,,dbt-snowplow-normalize
2023-03-11 00:00:00+00:00,25,23,clones,,,dbt-snowplow-normalize
2023-03-12 00:00:00+00:00,24,23,clones,,,dbt-snowplow-normalize
2023-03-13 00:00:00+00:00,24,22,clones,,,dbt-snowplow-normalize
2023-03-14 00:00:00+00:00,26,26,clones,,,dbt-snowplow-normalize
2023-03-15 00:00:00+00:00,24,23,clones,,,dbt-snowplow-normalize
2023-03-16 00:00:00+00:00,23,22,clones,,,dbt-snowplow-normalize
2023-03-17 00:00:00+00:00,23,21,clones,,,dbt-snowplow-normalize
2023-03-18 00:00:00+00:00,24,24,clones,,,dbt-snowplow-normalize
2023-03-19 00:00:00+00:00,24,24,clones,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,12,12,clones,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,23,20,popular/paths,/snowplow/dbt-snowplow-fractribution,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,10,3,popular/paths,/snowplow/dbt-snowplow-fractribution/blob/0.2.0/dbt_project.yml,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,8,6,popular/paths,/snowplow/dbt-snowplow-fractribution/tree/0.2.0,3,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,8,4,popular/paths,/snowplow/dbt-snowplow-fractribution/tree/main/macros,4,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,7,4,popular/paths,/snowplow/dbt-snowplow-fractribution/tree/main/models,5,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,7,2,popular/paths,/snowplow/dbt-snowplow-fractribution/blob/main/macros/channel_spend.sql,6,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,6,2,popular/paths,/snowplow/dbt-snowplow-fractribution/blob/main/macros/channel_classification.sql,7,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,6,2,popular/paths,/snowplow/dbt-snowplow-fractribution/blob/main/models/snowplow_fractribution_channel_spend.sql,8,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,5,2,popular/paths,/snowplow/dbt-snowplow-fractribution/blob/main/models/snowplow_fractribution_paths_to_conversion.sql,9,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,5,2,popular/paths,/snowplow/dbt-snowplow-fractribution/blob/main/models/snowplow_fractribution_path_summary.sql,10,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,57,4,popular/referrers,github.com,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,11,7,popular/referrers,Google,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,8,5,popular/referrers,hub.getdbt.com,3,dbt-snowplow-normalize
2023-03-06 00:00:00+00:00,18,5,views,,,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,8,6,views,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,22,4,views,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,9,3,views,,,dbt-snowplow-normalize
2023-03-10 00:00:00+00:00,18,6,views,,,dbt-snowplow-normalize
2023-03-11 00:00:00+00:00,2,1,views,,,dbt-snowplow-normalize
2023-03-13 00:00:00+00:00,63,2,views,,,dbt-snowplow-normalize
2023-03-14 00:00:00+00:00,7,4,views,,,dbt-snowplow-normalize
2023-03-15 00:00:00+00:00,6,5,views,,,dbt-snowplow-normalize
2023-03-16 00:00:00+00:00,6,3,views,,,dbt-snowplow-normalize
2023-03-17 00:00:00+00:00,2,2,views,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,2,1,views,,,dbt-snowplow-normalize
2023-03-06 00:00:00+00:00,10,10,clones,,,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,24,23,clones,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,24,23,clones,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,24,24,clones,,,dbt-snowplow-normalize
2023-03-10 00:00:00+00:00,24,22,clones,,,dbt-snowplow-normalize
2023-03-11 00:00:00+00:00,24,22,clones,,,dbt-snowplow-normalize
2023-03-12 00:00:00+00:00,24,23,clones,,,dbt-snowplow-normalize
2023-03-13 00:00:00+00:00,24,22,clones,,,dbt-snowplow-normalize
2023-03-14 00:00:00+00:00,24,24,clones,,,dbt-snowplow-normalize
2023-03-15 00:00:00+00:00,25,24,clones,,,dbt-snowplow-normalize
2023-03-16 00:00:00+00:00,25,24,clones,,,dbt-snowplow-normalize
2023-03-17 00:00:00+00:00,26,22,clones,,,dbt-snowplow-normalize
2023-03-18 00:00:00+00:00,24,24,clones,,,dbt-snowplow-normalize
2023-03-19 00:00:00+00:00,24,24,clones,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,14,13,clones,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,38,23,popular/paths,/snowplow/dbt-snowplow-ecommerce,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,12,10,popular/paths,/snowplow/dbt-snowplow-ecommerce/tree/main/models,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,8,1,popular/paths,/snowplow/dbt-snowplow-ecommerce/tree/main/integration_tests/data/expected/databricks,3,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,7,5,popular/paths,/snowplow/dbt-snowplow-ecommerce/tree/main/models/products,4,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,5,4,popular/paths,/snowplow/dbt-snowplow-ecommerce/tree/0.3.0,5,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,5,4,popular/paths,/snowplow/dbt-snowplow-ecommerce/tree/main/models/products/scratch,6,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,5,3,popular/paths,/snowplow/dbt-snowplow-ecommerce/tree/main/models/base/scratch,7,dbt-snowplow-normalize
